Kategori Audit	Aktiviti	Organisasi	Tahun	Jan	Feb	Mac	Apr	Mei	Jun	Jul	Ogo	Sep	Okt	Nov	Dis	Catatan
 KEWANGAN	Penampilan Audit Terhadap Pengurusan Kewangan Bagi Masjid / Surau / SRA, SRAI, KAFA, KAFAI & Pra-Sekolah JAIS yang terpilih (Minima 30 lokasi) 	JAIS	2015					1	1	1	1	1	1			
SUSULAN	"Penampilan Audit Terhadap Masjid dan Surau Tahun 2014 (K/K-Bil.28/2014)

"	JAIS	2015				1	1								Memberi laluan kepada auditan ad-hoc aduan masjid dan surau sebanyak 5 aduan yang diterima sehingga Julai 2015.
PRESTASI	"Perolehan Sistem Letak Kereta – Kumpulan MAIS Corporation (KMC)

"	ANAK SYARIKAT	2015				1	1								Ditangguhkan untuk dilaksanakan dalam program SKT 2016. 
PRESTASI	"Pengurusan Sumbangan Anak Yatim – Yayasan Islam Darul Ehsan (YIDE)

"	ANAK SYARIKAT	2015								1	1				Rujuk K/K-Bil.45/2015
SUSULAN	"Pengurusan Penghutang KUIS (K/K-Bil.23/2014) 

"	ANAK SYARIKAT	2015		1			1			1		1			Rujuk K/K-Bil.11/2015, KK-Bil.30/2015 & K/K-Bil.47/2015
SUSULAN	"Pemilihan Kontraktor bagi Projek di KMC (K/K-Bil.32/2014) 

"	ANAK SYARIKAT	2015				1						1			Digugurkan kerana isu telah selesai dilaksanakan
AD-HOC	Aduan berkaitan MAIS Integrated Sdn. Bhd - Rujuk K/K-Bil.2/2015	LAIN-LAIN	2015	1												(Aduan yang diterima pada tahun 2014)
AD-HOC	Aduan Awam Pengurusan Kewangan Masjid Bandar Baru Sungai Buloh	LAIN-LAIN	2015	1												Rujuk K/K-Bil.3/2015
AD-HOC	Aduan salah laku urus tadbir oleh pegawai & jawatankuasa kariah Masjid Jumhuriyah Taman Dato’ Harun, Petaling Jaya -	LAIN-LAIN	2015	1												 Rujuk K/K-Bil.4/2015
AD-HOC	Masjid Jamek Pekan Sungai Buloh, Jeram - (Laporan Keputusan Perjumpaan Bersama Pegawai & AJK Masjid)	LAIN-LAIN	2015		1											Rujuk K/K-Bil.5/2015
AD-HOC	Aduan berkaitan Petition / Aduan Surau Al-Syakirin, Bandar Utama Petaling Jaya 	LAIN-LAIN	2015		1					1						Rujuk K/K-Bil.6/2015
AD-HOC	Aduan Kelewatan Pembayaran Kepada Kontraktor Projek Menyiapkan Kompleks Pemurniaab Akidah (Baitul Iman) Fasa 1&2. 	LAIN-LAIN	2015		1											Rujuk K/K-Bil.7/2015
AD-HOC	Aduan terhadap Pengurusan Bantuan Mualaf 	LAIN-LAIN	2015			1										 Rujuk K/K-Bil.8/2015
AD-HOC	Auditan khas / ad-hoc aduan salah laku dan integriti Pengerusi Madrasah Jamaliyah Selayang Baru 	LAIN-LAIN	2015						1	1						 Rujuk K/K-Bil.22/2015 
AD-HOC	Auditan kewangan pengurusan perolehan dokumentari TV dan percetakan Buku Teks Mualaf 	LAIN-LAIN	2015				1	1								 Rujuk K/K-Bil.23/2015
AD-HOC	Auditan kewangan pembayaran elaun panel dakwah mualaf MAIS dan kehadiran kelas agama asas 	LAIN-LAIN	2015						1							Rujuk K/K-Bil.24/2015
AD-HOC	Auditan kewangan status penggunaan Sistem SAGA dan GIS MAIS	LAIN-LAIN	2015							1						Rujuk K/K-Bil.25/2015
AD-HOC	Auditan prestasi pencapaian KPI Sektor & Bahagian MAIS bagi bulan Januari hingga Mei 2015 	LAIN-LAIN	2015							1						Rujuk K/K-Bil.27/2015
AD-HOC	Auditan khas terhadap kuasa Setiausaha MAIS dalam pentadbran pusaka dan penawaran peneubsan pusaka Haji Samad bin Haji Ismail. 	LAIN-LAIN	2015									1				 Rujuk K/K-Bil.39/2015
AD-HOC	Audian Khas pembayaran emolumen kepada Encik Muhamad Suffian bin Zakaria terlebih bayar 	LAIN-LAIN	2015									1				K/K-Bil.40/2015
AD-HOC	Auditan khas pengurusan perlindungan takaful 	LAIN-LAIN	2015									1				 K/K-Bil.41/2015
AD-HOC	Auditan khas pengesahan perbelanjaan peruntukan zakat berjumlah RM5.78 Juta kepada JAKESS 	LAIN-LAIN	2015									1				K/K-Bil.42/2015
AD-HOC	Auditan kewangan makluman prestasi penghantaran penyata kewangan Masjid dan Surau Solat Jumaat bagi tempoh berakhir 30 Jun 2015 	LAIN-LAIN	2015									1				 K/K-Bil.44/2015
AD-HOC	Auditan susulan terhadap maklumbalas pemerhatian audit penyata kewangan MAIS 201 	LAIN-LAIN	2015									1				 K/K-Bil.46/2015
